param_criterion,param_max_depth,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
gini,1,1,0.28701772923772456,0.316332853952553,0.3102645060103975,0.305874350900453,0.33901564775008647,0.31170101757024293,0.016809647604770057,199
gini,1,34,0.49446938012715796,0.48312713639184596,0.4715967156094486,0.5419991117025845,0.4722020131907646,0.4926788714043604,0.026041070183734454,177
gini,1,67,0.48435702442675815,0.501768624380694,0.4643295401502514,0.5627799790189348,0.4548996748757953,0.4936269685704867,0.03819031255906818,173
gini,1,100,0.4918422730288371,0.5100267895771999,0.4682851500217642,0.5441830951327878,0.4640166182006904,0.4956707851922559,0.029414812202947685,172
gini,1,133,0.48662353063721997,0.4966479647295859,0.4602344669050291,0.5450478080432996,0.46780819767817194,0.49127239359866126,0.029853727653828738,178
gini,1,167,0.49833949993583204,0.5054008590965922,0.47251024053318613,0.5453565939124889,0.46900749593904467,0.49812293788342876,0.027523635382525516,169
gini,1,200,0.49979086380703325,0.5077342641162104,0.4532833091764511,0.559228052761683,0.4777485689203279,0.49955701175634115,0.03533955010178699,166
gini,1,233,0.48941297198125905,0.5061612887057869,0.4765460091480662,0.5526256467095808,0.4696459378984189,0.4988783708886223,0.02961308442570298,167
gini,1,266,0.4992173804497337,0.5067817918401061,0.4653858297374607,0.5475273549819342,0.4750559215495068,0.49879365571174833,0.028700265383794634,168
gini,1,300,0.4853631273113026,0.5034565589303012,0.47790368373430586,0.5612564570503925,0.4699908618445118,0.49959413777416284,0.03276129215011921,165
gini,17,1,0.3346675372041589,0.33605900164818214,0.3087482573849246,0.3832267789445737,0.3519561450111779,0.3429315440386035,0.02445065280583312,182
gini,17,34,0.5744116390748172,0.6151427834573601,0.5638778324692322,0.6179443350157201,0.56349652788743,0.5869746235809119,0.024474801629143682,145
gini,17,67,0.5704282288420113,0.6222780544139569,0.5908617778762352,0.608594095764736,0.5687281466289114,0.5921780607051702,0.020977045002055206,140
gini,17,100,0.5914704012114482,0.6251708470044086,0.5928632705130064,0.6143352875374672,0.5987584297623789,0.6045196472057418,0.013131370174498114,96
gini,17,133,0.5927463774725865,0.6394039300192678,0.595374526948244,0.6116212779766887,0.5870220060898906,0.6052336237013355,0.018937835590122087,92
gini,17,167,0.5992917405070693,0.641653865686313,0.5920539520539494,0.6256630285325796,0.6086760692446662,0.6134677312049155,0.018031373370027186,21
gini,17,200,0.5948909835918789,0.6420715306039433,0.6048758867197157,0.625891114752555,0.5957862849944521,0.6127031601325089,0.018445291203109858,24
gini,17,233,0.5948572859285908,0.6393272373737955,0.5850877342944152,0.6241486018642273,0.6039418058034994,0.6094725330529056,0.019725633925157398,57
gini,17,266,0.6006181282931758,0.6579237174757819,0.59538919073832,0.6347840256624019,0.604013228984268,0.6185456582307896,0.024013021229929266,1
gini,17,300,0.6003818495640554,0.643173942001492,0.5926223732685634,0.6271121283279673,0.6054100815502811,0.613740074942472,0.018649142827247157,19
gini,34,1,0.3339349028325006,0.3449297405620755,0.3311256367736869,0.3344143489319909,0.3136453849738688,0.3316100028148245,0.010135551642865727,191
gini,34,34,0.5787116228535198,0.6022804650815108,0.5726106060540275,0.577657435980242,0.5516621535450348,0.576584456702867,0.016142327283435107,154
gini,34,67,0.5781971003103378,0.6288906114542742,0.5625479574573656,0.5979467920622482,0.59967645818764,0.5934517838943731,0.02237236700487744,134
gini,34,100,0.5793260204829338,0.6286656082102556,0.5810685452487574,0.611116679871012,0.5867847150673191,0.5973923137760556,0.019348150775348294,125
gini,34,133,0.5953066668194548,0.6395693917425287,0.5905328749570145,0.6177098659881602,0.5913542602759367,0.606894611956619,0.01912119449370202,81
gini,34,167,0.5926238909112691,0.6455437699134066,0.570109302742119,0.6127564882500444,0.60685058607334,0.6055768075780359,0.024804234936744333,89
gini,34,200,0.5913685127412411,0.6447798426237398,0.5830554384604927,0.6339892700384812,0.595844625295655,0.6098075378319219,0.02473238228934112,53
gini,34,233,0.5915265341650656,0.6446813750446693,0.587213061906364,0.6158241156161588,0.592762453593309,0.6064015080651133,0.021585267524090047,84
gini,34,266,0.6002226183168374,0.6407293016656376,0.5864884710747275,0.6125507357268739,0.5979674449247039,0.607591714341756,0.018520089638928827,74
